ID_NUMBER,TARGET,FIRST_VISIT_DATEKEY,AL,AN,AT,CA,CT,FR,FS,GA,GS,HD,HR,MD,OP,PA,PP,PS,RF,SA,SP,ST,TP,TR,TT,XF,FORMER_ATHLETE,HONORS_PROGRAM,DOUBLE_DEL,SOLICIT_CTRL,HAS_EMPLOYMENT_IND,SELF_EMPLOYED,POSITION_LEVEL_CODE,FLD_OF_WORK_CODE,DEG_AG,DEG_AS,DEG_BE,DEG_BS,DEG_CE,DEG_EG,DEG_EL,DEG_GC,DEG_GR,DEG_HN,DEG_HP,DEG_HY,DEG_MS,DEG_US,NUM_EVENTS_REGISTERED,NUM_EVENTS_REGISTERED_LAST_5FY,NUM_EVTS_CONFIRMED_ATTEND,NUM_EVT_CONFIRM_ATTEND_LST_5FY,FIRST_ATTENDED_EVENT_DATEKEY,LAST_ATTENDED_EVENT_DATEKEY,M_GIFT,M_DATE,M_RANK,R_GIFT,R_DATE,R_RANK,FYOG_COUNT,GIFT_COUNT,F_RANK,TOTAL_RFM,DONOR_RANK,CONSECUTIVE_YEARS_OF_GIVING,LAST_FIS_YEAR_OF_GIVING,TOT_CRED_LAST_FIS_YR_OF_GIVING,TOTAL_SOFT_CREDIT,TOTAL_SOFT_FUNDRAISING,DONOR_CATEGORY,CLASS_YEAR,CLASS_YEAR_DECADE,YOUNG_ALUMNI_IND,AGE,BINNED_AGE,DONOR_STATUS,CURRENT_SOLICIT_SEGMENT,SIMPLE_RATING,CONSECUTIVE_YRS_OF_GIVING_BIN,FIS_YEARS_OF_GIVING,FYOG_COUNT_BINNED,CHALLENGE_REGION,YEARS_SINCE_UD_CONNECTION,YEARS_GAVE_SINCE_UD_CONNECTION,GIVING_YEARS_SATURATION
0000000434,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,75,19970529,84,75,19970529,70,7,9,94,248,12651,1,1997,75,232.5,232.5,Individuals,1985,1980's,N,59,55 - 64,Ever Donor,AL Only - Lapsed 11+ Years,$50K - $250K,1,7,6-9,Baltimore,38,7,0.18
0000000626,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,300,20100628,95,300,20100628,81,6,6,92,268,5568,1,2010,300,949,949,Individuals,1962,1960's,N,82,65+,Outstanding Balance,AL Only - Lapsed 11+ Years,<$50K,1,6,6-9,None,61,6,0.1
0000001341,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,00000000,0,0,00000000,0,0,0,0,0,36331,0,0,0,0,0,Individuals,1980,1980's,N,64,55 - 64,Future Donor,AL Only - Future Donor,$50K - $250K,0,0,0,San Francisco,43,0,0
0000001593,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,20191115,20191115,4509.3,20151214,99,3000,20201218,95,17,20,97,291,2719,11,2021,3000,32183.4,32288.4,Individuals,1979,1970's,N,72,65+,Lybunt,DDS Lybunt,<$50K,10+,17,10+,Kent & Sussex County DE,44,17,0.39
0000002566,1,20220121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,20140606,20140606,25,20220110,72,25,20220110,99,9,9,94,265,12275,2,2022,25,145,145,Individuals,1963,1960's,N,79,65+,Current Donor,Exclude Current FY Donors,<$50K,2,9,6-9,None,60,9,0.15
0000003579,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,20030101,20030101,203,20180327,94,200,20211209,98,15,15,96,288,3357,1,2022,200,1678,1678,Individuals,1966,1960's,N,78,65+,Current Donor,Exclude Current FY Donors,<$50K,1,15,10+,New Castle County DE,57,15,0.26
0000004633,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,20100604,20160603,30,19871116,77,20,19890322,66,4,4,88,231,15711,4,1989,20,100,100,Individuals,1977,1970's,N,66,65+,Ever Donor,AL Only - Lapsed 11+ Years,$50K - $250K,3-5,4,3-5,Baltimore,46,4,0.09
0000005000,1,20210520,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,1000,20191011,97,1000,20191011,93,1,1,66,256,4657,1,2020,1000,1000,1000,Individuals,1975,1970's,N,68,65+,Lapsed 1 yr,DDS Lapsed 1-2 Years,<$50K,1,1,1,None,48,1,0.02
0000005901,0,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,19970521,72,25,19970521,70,10,10,94,236,12261,8,1997,25,237.5,237.5,Individuals,1986,1980's,N,58,55 - 64,Ever Donor,AL Only - Lapsed 11+ Years,<$50K,6-9,10,6-9,Northern NJ,37,10,0.27
0000007419,0,99999999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2, ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,20210414,20210414,50,19900522,79,25,19930428,69,5,5,90,238,12347,1,1993,25,145,145,Individuals,1984,1980's,N,60,55 - 64,Ever Donor,AL Only - Lapsed 11+ Years,$50K - $250K,1,5,3-5,Philadelphia,39,5,0.13
